scenario,level,agent,seed,sample,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost
calm,E0_ideal,risk-parity,9,0,0.09823912912207744,21.623646839250913,-0.0005354956875145422,1.0,23.016617091477706
calm,E0_ideal,risk-parity,10,0,0.1049982620755332,27.33083727643379,-0.005153922558185142,1.0,21.36589658960684
calm,E0_ideal,minimum-variance,1,0,0.09855041346154736,20.2800460581701,-0.0020686777648989407,1.0,14.978913720423348
calm,E0_ideal,minimum-variance,2,0,0.09844345809878097,24.307141534008217,0.0,1.0,14.960808422860417
calm,E0_ideal,minimum-variance,3,0,0.08566876305685445,18.09033932420265,-0.0015185629874537865,1.0,15.234026743392988
calm,E0_ideal,minimum-variance,4,0,0.08678323547268096,23.375091026866254,-0.001334926363622757,1.0,15.119050981875159
calm,E0_ideal,minimum-variance,5,0,0.08771896609077001,28.81274756088492,0.0,1.0,14.730459146018312
calm,E0_ideal,minimum-variance,6,0,0.11610761216411314,24.05563297043367,-0.0026500860429399253,1.0,20.983590514880007
calm,E0_ideal,minimum-variance,7,0,0.07306348104737581,17.37209279706166,-0.006347634504755617,1.0,16.043895838530812
calm,E0_ideal,minimum-variance,8,0,0.06991999638995616,25.336808221299382,0.0,1.0,14.748846237787822
calm,E0_ideal,minimum-variance,9,0,0.10042930304557296,23.022733998131123,0.0,1.0,15.001697528603422
calm,E0_ideal,minimum-variance,10,0,0.11488182306990047,28.580170590160527,-0.005014687897026415,1.0,15.547645993715816
calm,E0_ideal,random,1,0,0.05310102500079128,12.188215255956015,-0.0027436994723426533,1.0,81.29089981756012
calm,E0_ideal,random,2,0,0.07671065607433669,19.642803261350394,-0.0002100139999999806,1.0,49.45119111630684
calm,E0_ideal,random,3,0,0.05692689080488833,15.696800179306555,-0.0015653915514315386,1.0,89.01898919223349
calm,E0_ideal,random,4,0,0.07069616228390241,16.509271461697388,-0.0013349492111960348,1.0,71.70084623538726
calm,E0_ideal,random,5,0,0.04596942518932634,15.236720052785644,-0.0002100139999999806,1.0,101.82132368659231
calm,E0_ideal,random,6,0,0.07925948525204496,15.600731713699918,-0.003477163880880374,1.0,82.1730046323568
calm,E0_ideal,random,7,0,0.03929143811196223,11.271016644370624,-0.0011362635350349315,1.0,106.55384881578554
calm,E0_ideal,random,8,0,0.05061547355655405,18.985576006485108,-0.0001983907383863448,1.0,82.47699936136921
calm,E0_ideal,random,9,0,0.0746756748492472,20.23643566044417,-0.0001589369792673878,1.0,69.93202553848762
calm,E0_ideal,random,10,0,0.07400003417200307,18.268263164445834,-0.003044205118839849,1.0,50.48968183697433
calm,E0_ideal,poe:gpt-5.5,1,0,0.09093844690332897,18.201536187968212,-0.0021717473073782356,1.0,43.11677775766161
calm,E0_ideal,poe:gpt-5.5,2,0,0.07748028635220972,22.560634793881295,-0.0004460321212154117,1.0,59.29736756787743
calm,E0_ideal,poe:gpt-5.5,3,0,0.06328170861150606,21.23804192647706,-0.0022023516931232168,1.0,86.82210321751504
calm,E0_ideal,poe:gpt-5.5,4,0,0.07935682288743706,20.8606379618981,-0.00143831860003385,1.0,57.333650806983464
calm,E0_ideal,poe:gpt-5.5,5,0,0.08574227024365255,27.089540675265088,-0.00010500700000004581,1.0,14.620586343847176
calm,E0_ideal,poe:gpt-5.5,6,0,0.10956033877945037,21.524809330327255,-0.0036514870959180046,1.0,43.03992802271113
calm,E0_ideal,poe:gpt-5.5,7,0,0.06302068873883271,18.94097989398156,0.0,1.0,43.26819731321657
calm,E0_ideal,poe:gpt-5.5,8,0,0.06570481412200069,22.99398716376359,0.0,1.0,50.33937113482888
calm,E0_ideal,poe:gpt-5.5,9,0,0.09285229533882777,20.72603448356052,0.0,1.0,28.868472129814908
calm,E0_ideal,poe:gpt-5.5,10,0,0.0983086073064594,22.194288217758317,-0.0062398862657054854,1.0,43.07041998351962
calm,E1_default_stress,buy-and-hold,1,0,0.09021745576919415,14.963049026695273,-0.002213411528830367,0.9166666666666666,644.756562422916
calm,E1_default_stress,buy-and-hold,2,0,0.09089624945977737,16.612843037810443,-0.0012307564478712951,0.8695652173913043,493.30591389501467
calm,E1_default_stress,buy-and-hold,3,0,0.0778437857171379,13.615869523845298,-0.0019803826581313855,0.9,479.90188178398364
calm,E1_default_stress,buy-and-hold,4,0,0.0945662158108489,20.760691107380506,-0.00171984628026578,0.875,690.1633713546535
calm,E1_default_stress,buy-and-hold,5,0,0.09756283820251332,18.757801949229794,-0.0012258952895094488,0.875,566.2336238511687
calm,E1_default_stress,buy-and-hold,6,0,0.10144317607292241,16.37692678343385,-0.003298967239055761,0.875,703.8318483814356
calm,E1_default_stress,buy-and-hold,7,0,0.06158020619441107,13.83757910464821,-0.007774000273097381,0.8333333333333334,506.0411797153175
calm,E1_default_stress,buy-and-hold,8,0,0.07175220733825305,15.356581807031192,-0.0015674496539717087,0.8333333333333334,472.8726792821443
calm,E1_default_stress,buy-and-hold,9,0,0.09853275118308424,17.9548959588985,-0.0014355003114725484,0.8695652173913043,645.0294004683731
calm,E1_default_stress,buy-and-hold,10,0,0.10087096035446108,18.63695426396896,-0.00444319460547693,0.9047619047619048,601.1450007108823
calm,E1_default_stress,signal-weighted,1,0,0.010887712640142322,5.240011172724808,-0.004927223147941473,0.7692307692307693,314.1204235009878
calm,E1_default_stress,signal-weighted,2,0,0.0063338365518215145,5.4781491166969705,-0.0002474857416309151,0.8,195.12319270372166
calm,E1_default_stress,signal-weighted,3,0,0.01834406700522062,4.489330379850359,-0.0057302819737387045,0.75,453.71318531327745
calm,E1_default_stress,signal-weighted,4,0,0.01239663150108039,11.892588072430106,-0.000789622268276835,0.75,391.7876599410322
calm,E1_default_stress,signal-weighted,5,0,0.008804884148415626,8.59982292805233,-0.00024820823267479586,0.8,177.13126951100062
calm,E1_default_stress,signal-weighted,6,0,0.009592548671565782,5.314098676233228,-0.005117740040752716,0.75,457.382186064501
calm,E1_default_stress,signal-weighted,7,0,0.007514761490911459,7.267600344998659,-0.00024028534316400396,0.8,155.99914234022552
calm,E1_default_stress,signal-weighted,8,0,0.011636823332826562,8.450304387604023,-0.0008055715574222244,0.7692307692307693,224.98011739293383
calm,E1_default_stress,signal-weighted,9,0,0.004800863672701272,2.756645232772313,-0.006495513005644771,0.7692307692307693,318.81237752352155
calm,E1_default_stress,signal-weighted,10,0,0.012219309429148062,4.531914514406557,-0.007287896670595262,0.7692307692307693,441.32905729416365
calm,E1_default_stress,naive-momentum,1,0,0.07683460583915291,13.014519952643932,-0.006367185810631115,0.8636363636363636,533.5819867495065
calm,E1_default_stress,naive-momentum,2,0,0.0863944791229112,15.060764531954167,-0.0012573871025477468,0.8636363636363636,679.0022867833292
calm,E1_default_stress,naive-momentum,3,0,0.06907229285927641,12.891842365776025,-0.001731237673967878,0.8636363636363636,763.3914390814866
calm,E1_default_stress,naive-momentum,4,0,0.052139037057084,12.683608390631658,-0.002707553742869462,0.8571428571428571,675.2433898875788
calm,E1_default_stress,naive-momentum,5,0,0.08103511628698756,20.254331127913314,-0.0006962333397607656,0.9,731.1678427711552
calm,E1_default_stress,naive-momentum,6,0,0.10513711367732403,18.737719682968123,-0.0023872830147585455,0.8181818181818182,494.9785572493964
calm,E1_default_stress,naive-momentum,7,0,0.04323577335617701,19.12046115596291,-0.0004508879667421972,0.7777777777777778,577.4774554357369
calm,E1_default_stress,naive-momentum,8,0,0.04553437276424699,13.539992031275562,-0.0008055715574222244,0.9,641.4230170720704
calm,E1_default_stress,naive-momentum,9,0,0.0839200533153428,13.716631713907821,-0.0067789253432015695,0.9047619047619048,704.7075734641429
calm,E1_default_stress,naive-momentum,10,0,0.08908822429402208,13.460886128214787,-0.007625538154079403,0.8636363636363636,823.8448629768521
calm,E1_default_stress,mean-reversion,1,0,0.0,0.0,0.0,0.0,0.0
calm,E1_default_stress,mean-reversion,2,0,0.0,0.0,0.0,0.0,0.0
calm,E1_default_stress,mean-reversion,3,0,0.0,0.0,0.0,0.0,0.0
calm,E1_default_stress,mean-reversion,4,0,0.00798896089494816,5.983456640901446,-0.000817982039075571,0.6666666666666666,177.49876983594362
calm,E1_default_stress,mean-reversion,5,0,0.008615319137745603,8.158782166850726,-0.0005427854267545662,0.8,249.07708645371827
calm,E1_default_stress,mean-reversion,6,0,0.0,0.0,0.0,0.0,0.0
calm,E1_default_stress,mean-reversion,7,0,0.017450291361641224,5.5100171524128685,-0.003005135250363722,0.8333333333333334,327.628872676475
calm,E1_default_stress,mean-reversion,8,0,0.001618612815375453,1.6979057451897688,-0.0018554533815386964,0.8,181.40034861127265
calm,E1_default_stress,mean-reversion,9,0,0.005051688454822401,5.7869682778812,-0.0008175975643821554,0.6666666666666666,151.10145611397138
calm,E1_default_stress,mean-reversion,10,0,0.0,0.0,0.0,0.0,0.0
calm,E1_default_stress,risk-parity,1,0,0.08306238258388698,15.90877522769967,-0.002905871518184111,0.9166666666666666,488.37180623105496
calm,E1_default_stress,risk-parity,2,0,0.10230394749562399,16.597218264794066,-0.0012307564478712951,0.875,630.9109282924645
calm,E1_default_stress,risk-parity,3,0,0.06402166794261999,10.45301948470485,-0.0032123870193786486,0.875,704.6140841132179
calm,E1_default_stress,risk-parity,4,0,0.07686725810032691,14.28820345650534,-0.002747350512122937,0.875,651.9236619292451
calm,E1_default_stress,risk-parity,5,0,0.083076095383664,20.149103863814474,-0.0012258952895094488,0.875,523.5325668991711
calm,E1_default_stress,risk-parity,6,0,0.0972932498855772,15.778980361802098,-0.006020405440041898,0.875,673.3083685153847
calm,E1_default_stress,risk-parity,7,0,0.05833814442413332,14.00106618876296,-0.00743793802575643,0.8333333333333334,675.653728608963
calm,E1_default_stress,risk-parity,8,0,0.06550674398314471,14.987619275413314,-0.0015674496539717087,0.875,639.4025737389932
calm,E1_default_stress,risk-parity,9,0,0.07618622987075696,15.722972413434384,-0.004760467507693877,0.8695652173913043,738.6896186636443
calm,E1_default_stress,risk-parity,10,0,0.09339265749674786,14.377953981129687,-0.010253726143923947,0.875,897.6264000521968
calm,E1_default_stress,minimum-variance,1,0,0.08394916964880683,14.604325379648365,-0.005883207014064418,0.9166666666666666,574.4594104890068
calm,E1_default_stress,minimum-variance,2,0,0.10300228828159419,16.48685537516158,-0.0012307564478712951,0.875,625.487308280878
calm,E1_default_stress,minimum-variance,3,0,0.07804288724212816,12.084904763931469,-0.00193671190489475,0.8695652173913043,599.5463782562075
calm,E1_default_stress,minimum-variance,4,0,0.07725079418675374,14.063452553987167,-0.002744330291306385,0.8333333333333334,617.032804082044
calm,E1_default_stress,minimum-variance,5,0,0.08843216748187133,19.238672435702952,-0.0012258952895094488,0.8333333333333334,584.0723470239858
calm,E1_default_stress,minimum-variance,6,0,0.08686524323635036,15.802366918996114,-0.006254317462687564,0.875,790.3105421342477
calm,E1_default_stress,minimum-variance,7,0,0.06969548526614977,16.405038860931377,-0.00743793802575643,0.875,566.8405683889354
calm,E1_default_stress,minimum-variance,8,0,0.07043545081358982,14.892171395885258,-0.0015674496539717087,0.875,560.6512689820829
calm,E1_default_stress,minimum-variance,9,0,0.09452837307897677,14.685441411278301,-0.0025318051724231294,0.8695652173913043,593.3933627671252
calm,E1_default_stress,minimum-variance,10,0,0.1006398476755368,14.845180965108453,-0.01021576606938479,0.8636363636363636,840.4462205857698
calm,E1_default_stress,random,1,0,0.034164827720350344,8.012941083960015,-0.006367819455822987,0.8333333333333334,538.2383270911755
calm,E1_default_stress,random,2,0,0.0797831757759675,17.32434849676071,-0.0007721568811510648,0.9090909090909091,623.3095832785743
calm,E1_default_stress,random,3,0,0.05114706219775078,9.184047508614274,-0.0013457787217434625,0.8333333333333334,1066.1695259407595
calm,E1_default_stress,random,4,0,0.04921086026367538,9.717641868567462,-0.0028826386728125764,0.8181818181818182,806.12701178371
calm,E1_default_stress,random,5,0,0.03386306240156611,12.118571813006872,-0.0012258952895094488,0.8181818181818182,882.6372126628075
calm,E1_default_stress,random,6,0,0.06399843976819719,14.446798313586298,-0.0032984283281506377,0.9130434782608695,829.8251386461471
calm,E1_default_stress,random,7,0,0.035453380258514855,8.735240313391767,-0.0068718417700183165,0.8571428571428571,740.5903544176044
calm,E1_default_stress,random,8,0,0.04839034699583,10.829690382486913,-0.0011134608069002239,0.8636363636363636,691.8541871464524
calm,E1_default_stress,random,9,0,0.07545130166702085,15.167123744484147,-0.0013064701407050627,0.9130434782608695,887.626195017402
calm,E1_default_stress,random,10,0,0.07298375803013846,11.8169497792397,-0.010542295620235564,0.8636363636363636,970.7580331078383
calm,E1_default_stress,poe:gpt-5.5,1,0,0.07480053557351063,15.461220807155241,-0.002213411528830367,0.8695652173913043,620.4615841262569
calm,E1_default_stress,poe:gpt-5.5,2,0,0.08460246664124216,15.968894559318214,-0.0012307564478712951,0.8636363636363636,633.9432731284286
calm,E1_default_stress,poe:gpt-5.5,3,0,0.06467609734255975,11.476440335495552,-0.0023549092649037817,0.782608695652174,941.0754941598351
calm,E1_default_stress,poe:gpt-5.5,4,0,0.07740414824973696,16.793186136405925,-0.0034456059057849098,0.8695652173913043,919.6821272550518
calm,E1_default_stress,poe:gpt-5.5,5,0,0.08289380649353184,20.819336463950012,-0.0006962333397607656,0.9047619047619048,664.3005769408611
calm,E1_default_stress,poe:gpt-5.5,6,0,0.08273441465866682,12.905176585079127,-0.003728902274806156,0.8260869565217391,888.8628248654652
calm,E1_default_stress,poe:gpt-5.5,7,0,0.06504662747463841,22.300613523972423,-0.0008398349500295943,0.9,662.6453706798662
calm,E1_default_stress,poe:gpt-5.5,8,0,0.06332870726270756,12.773044416923462,-0.0015674496539717087,0.8260869565217391,668.6112843195349
calm,E1_default_stress,poe:gpt-5.5,9,0,0.06776529530384456,11.378103298498848,-0.008394547915742456,0.8571428571428571,704.7306686487092
calm,E1_default_stress,poe:gpt-5.5,10,0,0.09519561000527488,14.476377996614078,-0.01028735092810118,0.8636363636363636,915.6458597075665
calm,E2_spread_20bps,buy-and-hold,1,0,0.0871371988595473,14.341638527578207,-0.0032098134900300224,0.9166666666666666,933.1559814677377
calm,E2_spread_20bps,buy-and-hold,2,0,0.08788990132856855,15.907020891263933,-0.001935891419593272,0.875,781.7709686593256
calm,E2_spread_20bps,buy-and-hold,3,0,0.07484931011118867,12.883937916341326,-0.0022668932975918876,0.9047619047619048,766.580937877863
calm,E2_spread_20bps,buy-and-hold,4,0,0.09143061233210847,19.862114882982876,-0.002423827011556856,0.875,983.6263581781628
calm,E2_spread_20bps,buy-and-hold,5,0,0.09443166049367813,17.855479929099005,-0.0019266130747420673,0.875,859.3976750637764
calm,E2_spread_20bps,buy-and-hold,6,0,0.09836063156181152,15.822263982773539,-0.004294107865954744,0.875,990.6158545545608
calm,E2_spread_20bps,buy-and-hold,7,0,0.05863863939905456,13.093583329526597,-0.008769267453706653,0.875,789.2243165445141
calm,E2_spread_20bps,buy-and-hold,8,0,0.06877544684549353,14.459785205909306,-0.002270950637212499,0.8333333333333334,758.094675246088
calm,E2_spread_20bps,buy-and-hold,9,0,0.09543957169029915,17.229182220514108,-0.0021371635104966424,0.9130434782608695,934.766713549106
calm,E2_spread_20bps,buy-and-hold,10,0,0.09781862262923902,17.955509577375103,-0.004464354346984223,0.9047619047619048,887.8225432823019
calm,E2_spread_20bps,signal-weighted,1,0,0.009491157424527108,4.54546346279454,-0.005389613927080261,0.7692307692307693,452.758973178827
calm,E2_spread_20bps,signal-weighted,2,0,0.005626239748614648,5.2625631077906,-0.0003608881973894418,0.8,265.8363798591899
calm,E2_spread_20bps,signal-weighted,3,0,0.01630104429653212,4.019306851329364,-0.006439909835646795,0.75,656.8732022782525
calm,E2_spread_20bps,signal-weighted,4,0,0.010247285409626272,10.18605048360379,-0.0011379174983080498,0.75,605.3439201930914
calm,E2_spread_20bps,signal-weighted,5,0,0.00807317781114536,8.303644263168595,-0.0003612215839980948,0.8,250.27190586061283
calm,E2_spread_20bps,signal-weighted,6,0,0.00743141816655668,4.087670471037625,-0.006181011590468799,0.75,671.6461036414123
calm,E2_spread_20bps,signal-weighted,7,0,0.006941707523993479,7.011276036891117,-0.0003534853509669089,0.8,213.2700438697096
calm,E2_spread_20bps,signal-weighted,8,0,0.010282253414952258,7.2889894588024795,-0.0011596968863756274,0.7692307692307693,359.9562679898824
calm,E2_spread_20bps,signal-weighted,9,0,0.003363029192430922,1.9250144582911055,-0.007311907989530297,0.7692307692307693,461.6605645437879
calm,E2_spread_20bps,signal-weighted,10,0,0.010755799837877555,4.090041054249223,-0.00764645315378254,0.7692307692307693,586.7537207668462
calm,E2_spread_20bps,naive-momentum,1,0,0.07380261918937547,12.518006758713582,-0.006381394303560772,0.8636363636363636,821.3802015524265
calm,E2_spread_20bps,naive-momentum,2,0,0.08344793962199581,14.535086913199251,-0.0019643914045933686,0.8636363636363636,960.011717294824
calm,E2_spread_20bps,naive-momentum,3,0,0.06590782438204612,12.343415958109986,-0.002432579616170605,0.8636363636363636,1067.2501347587104
calm,E2_spread_20bps,naive-momentum,4,0,0.048572493988365384,11.865859752858217,-0.003096286054705688,0.8571428571428571,1020.999852208836
calm,E2_spread_20bps,naive-momentum,5,0,0.07755877732082461,19.546567001567542,-0.0010482951587190703,0.9,1066.204601881552
calm,E2_spread_20bps,naive-momentum,6,0,0.10237937923512597,18.095077822266315,-0.0033833401250618067,0.8421052631578947,753.8907517438233
calm,E2_spread_20bps,naive-momentum,7,0,0.04004968068056369,17.507175684648047,-0.0008009260181364164,0.7777777777777778,888.710648324524
calm,E2_spread_20bps,naive-momentum,8,0,0.04200777021231006,12.423685223396246,-0.0011596968863756274,0.9,985.2165400699918
calm,E2_spread_20bps,naive-momentum,9,0,0.08058115597067572,13.187073577029738,-0.007791116916239016,0.9047619047619048,1018.9982994864242
calm,E2_spread_20bps,naive-momentum,10,0,0.0856311100417273,12.850474043610674,-0.008619352889214449,0.9047619047619048,1148.5961420529222
calm,E2_spread_20bps,mean-reversion,1,0,0.0,0.0,0.0,0.0,0.0
calm,E2_spread_20bps,mean-reversion,2,0,0.0,0.0,0.0,0.0,0.0
calm,E2_spread_20bps,mean-reversion,3,0,0.0,0.0,0.0,0.0,0.0
calm,E2_spread_20bps,mean-reversion,4,0,0.007272429038432948,5.625773266548517,-0.001171366003529073,0.6666666666666666,249.15205384327498
calm,E2_spread_20bps,mean-reversion,5,0,0.007195266683123425,7.413002753554831,-0.0008932186157224464,0.8,391.082444396798
calm,E2_spread_20bps,mean-reversion,6,0,0.0,0.0,0.0,0.0,0.0
calm,E2_spread_20bps,mean-reversion,7,0,0.016020221602685014,5.183974615045423,-0.0030102245216050427,0.8333333333333334,469.929012232558
calm,E2_spread_20bps,mean-reversion,8,0,0.00020110656975980135,0.2220061216987017,-0.0025652660661807936,0.8,323.15100891725365
calm,E2_spread_20bps,mean-reversion,9,0,0.004335182590611497,5.030004564417161,-0.0011725691423276619,0.6666666666666666,222.75210887864523
calm,E2_spread_20bps,mean-reversion,10,0,0.0,0.0,0.0,0.0,0.0
calm,E2_spread_20bps,risk-parity,1,0,0.08006508490012831,15.214447224991519,-0.003339582612624792,0.875,771.5529336255594
calm,E2_spread_20bps,risk-parity,2,0,0.09911277305489774,15.93601755775285,-0.001935891419593272,0.8695652173913043,931.2464045841493
calm,E2_spread_20bps,risk-parity,3,0,0.06015005563716236,9.771028486637311,-0.003518891849585315,0.875,1075.0830259448373
calm,E2_spread_20bps,risk-parity,4,0,0.07366740820223106,13.63070113384542,-0.0027650334038371582,0.875,959.2023137418239
calm,E2_spread_20bps,risk-parity,5,0,0.08027723327992553,19.161487711279857,-0.0019266130747420673,0.875,788.7185974401519
calm,E2_spread_20bps,risk-parity,6,0,0.09424611225990431,15.206993042796503,-0.007024452085784838,0.875,958.5047938754823
calm,E2_spread_20bps,risk-parity,7,0,0.0546279015172888,12.971287484933992,-0.008434662959749373,0.8333333333333334,1026.0177765157823
calm,E2_spread_20bps,risk-parity,8,0,0.06204009667120314,13.995694795009632,-0.002270950637212499,0.875,971.7700815785819
calm,E2_spread_20bps,risk-parity,9,0,0.07252113531449034,14.830315022457102,-0.005257588383009271,0.9130434782608695,1084.4217611724225
calm,E2_spread_20bps,risk-parity,10,0,0.09008275315573022,13.897693967767468,-0.010293746653893265,0.9166666666666666,1205.9212663717885
calm,E2_spread_20bps,minimum-variance,1,0,0.08095714097692719,13.969696021259809,-0.0061722717215358935,0.875,857.7260270151357
calm,E2_spread_20bps,minimum-variance,2,0,0.09988054341979669,15.83558030933935,-0.001935891419593272,0.8695652173913043,919.1806692796644
calm,E2_spread_20bps,minimum-variance,3,0,0.07498068076004905,11.469906713958668,-0.0022253066845608904,0.875,891.1990535519717
calm,E2_spread_20bps,minimum-variance,4,0,0.07421710089251898,13.430828311779273,-0.002760242234715382,0.8333333333333334,906.5137360193125
calm,E2_spread_20bps,minimum-variance,5,0,0.08541176658666139,18.27550068834917,-0.0019266130747420673,0.8333333333333334,870.3486503552137
calm,E2_spread_20bps,minimum-variance,6,0,0.08331846349882288,15.041006221252442,-0.0074114597914510805,0.875,1122.4802749639946
calm,E2_spread_20bps,minimum-variance,7,0,0.06663430243267143,15.485149496994556,-0.008434662959749373,0.875,859.1984045771433
calm,E2_spread_20bps,minimum-variance,8,0,0.06743892858383416,14.03539612559978,-0.002270950637212499,0.875,847.8825786251515
calm,E2_spread_20bps,minimum-variance,9,0,0.09151670900560571,14.11338391035009,-0.0028253868363163903,0.9166666666666666,878.4426744411867
calm,E2_spread_20bps,minimum-variance,10,0,0.0975607452000038,14.391480191141298,-0.010222694839300717,0.9130434782608695,1129.719693882856
calm,E2_spread_20bps,random,1,0,0.03125618900950622,7.354542320057017,-0.006402795449043985,0.8571428571428571,823.1504285214
calm,E2_spread_20bps,random,2,0,0.07666788329934549,16.710767137971803,-0.001181486060421788,0.9090909090909091,925.2260244069538
calm,E2_spread_20bps,random,3,0,0.04647903869834735,8.474057294843533,-0.002054647654582853,0.8333333333333334,1517.8418472683607
calm,E2_spread_20bps,random,4,0,0.04549090098210096,8.898362169867363,-0.0038783243729871852,0.8181818181818182,1163.8941579815203
calm,E2_spread_20bps,random,5,0,0.029317035972912908,10.612064014907096,-0.0019266130747420673,0.8181818181818182,1330.0887504802595
