case,correlation_intent_score,intent_coexposure,market_correlation,model,pair,provider,scene
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.2796340029549919,0.30000000000000004,0.9321133431833062,deepseek-v4-pro,V/MA,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.2790701310174368,0.35416666666666674,0.7879627228727625,deepseek-v4-pro,MSFT/ACN,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.2667596978615858,0.3333333333333334,0.8002790935847572,deepseek-v4-pro,AAPL/ACN,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.2585414417228534,0.35333333333333333,0.7317210614797739,deepseek-v4-pro,AAPL/NOW,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.2531157387940627,0.30000000000000004,0.8437191293135422,deepseek-v4-pro,CRM/NOW,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.2528345355287531,0.3133333333333334,0.8069187304109141,deepseek-v4-pro,MSFT/INTU,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.24875591861072607,0.35333333333333333,0.7040261847473379,deepseek-v4-pro,AMZN/NOW,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.24581204188424052,0.3133333333333334,0.7845065166518312,deepseek-v4-pro,ACN/INTU,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.24335491116681598,0.3333333333333334,0.7300647335004478,deepseek-v4-pro,MSFT/AMZN,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.2426026453671407,0.24333333333333337,0.996997172741674,deepseek-v4-pro,GOOGL/GOOG,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.24110869519455438,0.32083333333333336,0.751507621385624,deepseek-v4-pro,AMZN/INTU,deepseek,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.282512731569133,0.35375000000000006,0.7986225627395983,claude-opus-4.7,MSFT/NOW,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.2771002242102549,0.35166666666666674,0.7879627228727625,claude-opus-4.7,MSFT/ACN,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.2643429797375562,0.3795833333333334,0.6964030201648023,claude-opus-4.7,ACN/NOW,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.2514480539494767,0.2870833333333334,0.875871305484389,claude-opus-4.7,INTU/NOW,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.24820167889808556,0.2960416666666667,0.8384011672841735,claude-opus-4.7,AAPL/MSFT,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.24341822429869703,0.3041666666666667,0.8002790935847572,claude-opus-4.7,AAPL/ACN,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.24135639890121358,0.24208333333333334,0.996997172741674,claude-opus-4.7,GOOGL/GOOG,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.23518851613791364,0.29979166666666673,0.7845065166518312,claude-opus-4.7,ACN/INTU,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.234307833203115,0.2777083333333334,0.8437191293135422,claude-opus-4.7,CRM/NOW,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.23188523220022167,0.290625,0.7978846699362465,claude-opus-4.7,PG/KO,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.22647216420461808,0.31020833333333336,0.7300647335004478,claude-opus-4.7,MSFT/AMZN,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.22575053983700405,0.32562500000000005,0.6932838075608568,claude-opus-4.7,AMZN/ACN,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.2237072023639935,0.24000000000000002,0.9321133431833062,claude-opus-4.7,V/MA,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.22216444057212514,0.2956250000000001,0.751507621385624,claude-opus-4.7,AMZN/INTU,poe,tech_rates_2022
tech_rates_2022_poe_claude_opus_4_7_true,0.21876949658786174,0.27895833333333336,0.7842371797025662,claude-opus-4.7,CRM/INTU,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.07672800558284686,0.096875,0.7920310253713224,gemini-3.1-pro,AVGO/AMD,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.06636799627360518,0.07937500000000001,0.8361322365178604,gemini-3.1-pro,AMD/AMAT,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.060252584830879016,0.07604166666666669,0.7923627594197786,gemini-3.1-pro,AVGO/AMAT,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.05936324194423953,0.06979166666666668,0.8505777950219393,gemini-3.1-pro,XOM/CVX,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.05832794613413291,0.08041666666666668,0.7253216099581293,gemini-3.1-pro,TSLA/AMD,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.05356727520075228,0.06979166666666668,0.7675311073540624,gemini-3.1-pro,NVDA/TSLA,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.05272374155892363,0.07416666666666669,0.7108819086596442,gemini-3.1-pro,TSLA/AMAT,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.05067859584518953,0.057291666666666685,0.8845718547523987,gemini-3.1-pro,NVDA/AMD,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.050668660847298305,0.07083333333333335,0.7153222707853877,gemini-3.1-pro,TSLA/AVGO,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.05026646008159968,0.08020833333333335,0.6266987230952685,gemini-3.1-pro,AMD/HON,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.04978828266619103,0.07812500000000001,0.6372900181272451,gemini-3.1-pro,AVGO/HON,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.0474131087061749,0.07500000000000002,0.6321747827489984,gemini-3.1-pro,AMD/GE,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.046655917802038434,0.05416666666666669,0.8613400209607092,gemini-3.1-pro,NVDA/AMAT,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.0446798727178079,0.06354166666666668,0.7031586526081242,gemini-3.1-pro,NFLX/DIS,poe,tech_rates_2022
tech_rates_2022_poe_gemini_3_1_pro_true,0.044152022802257704,0.053333333333333344,0.8278504275423318,gemini-3.1-pro,QCOM/AMAT,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.25639111857952523,0.3210416666666667,0.7986225627395983,gpt-5.5,MSFT/NOW,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.23901535927140466,0.3033333333333334,0.7879627228727625,gpt-5.5,MSFT/ACN,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.23545099447897208,0.2808333333333334,0.8384011672841735,gpt-5.5,AAPL/MSFT,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.23242450798000278,0.33375000000000005,0.6964030201648023,gpt-5.5,ACN/NOW,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.22785539552033673,0.22854166666666667,0.996997172741674,gpt-5.5,GOOGL/GOOG,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.22480696840765987,0.2566666666666667,0.875871305484389,gpt-5.5,INTU/NOW,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.22007675073580826,0.275,0.8002790935847572,gpt-5.5,AAPL/ACN,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.21247051492653765,0.27083333333333337,0.7845065166518312,gpt-5.5,ACN/INTU,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.21080619179825433,0.28875000000000006,0.7300647335004478,gpt-5.5,MSFT/AMZN,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.2106964536153932,0.2260416666666667,0.9321133431833062,gpt-5.5,V/MA,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.20798106874410943,0.2954166666666667,0.7040261847473379,gpt-5.5,AMZN/NOW,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.2061838622259969,0.24437500000000004,0.8437191293135422,gpt-5.5,CRM/NOW,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.2025952688972124,0.27687500000000004,0.7317210614797739,gpt-5.5,AAPL/NOW,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.20220777720524993,0.2916666666666667,0.6932838075608568,gpt-5.5,AMZN/ACN,poe,tech_rates_2022
tech_rates_2022_poe_gpt_5_5_true,0.19806177166421057,0.22354166666666672,0.8860172450961887,gpt-5.5,HD/LOW,poe,tech_rates_2022
